precipitation,quality_code,modified_date,name,station_id,ref,lat,lon,altitude
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.2,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.2,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.1,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
1.3,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
4.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
5.5,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
5.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
3.6,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
2.8000000000000003,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.8,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
1.4000000000000001,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.6000000000000001,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
1.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
2.8000000000000003,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
4.2,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.6000000000000001,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.6000000000000001,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.2,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.2,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.2,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
0.0,200.0,2020-11-15 23:07:54,"Christchurch, Kyle St EWS",3084911f71727d00a529c343,325615,-43.53074,172.60769,11.26
